2026-04-20T07:37:21.889660Z [info     ] setup plugin alembic.autogenerate.schemas [alembic.runtime.plugins] loc=plugins.py:37
2026-04-20T07:37:21.889891Z [info     ] setup plugin alembic.autogenerate.tables [alembic.runtime.plugins] loc=plugins.py:37
2026-04-20T07:37:21.890008Z [info     ] setup plugin alembic.autogenerate.types [alembic.runtime.plugins] loc=plugins.py:37
2026-04-20T07:37:21.890107Z [info     ] setup plugin alembic.autogenerate.constraints [alembic.runtime.plugins] loc=plugins.py:37
2026-04-20T07:37:21.890215Z [info     ] setup plugin alembic.autogenerate.defaults [alembic.runtime.plugins] loc=plugins.py:37
2026-04-20T07:37:21.890312Z [info     ] setup plugin alembic.autogenerate.comments [alembic.runtime.plugins] loc=plugins.py:37
standalone | Starting Airflow Standalone
standalone | Password for the admin user has been previously generated in /workspaces/biomonitor-capstone/airflow_home/simple_auth_manager_passwords.json.generated. Not echoing it here.
standalone | Checking database is initialized
2026-04-20T07:37:22.124674Z [info     ] Migrating the Airflow database [airflow.utils.db] loc=db.py:1179
standalone | Database ready
api-server | 2026-04-20T07:37:27.419427Z [info     ] setup plugin alembic.autogenerate.schemas [alembic.runtime.plugins] loc=plugins.py:37
api-server | 2026-04-20T07:37:27.419687Z [info     ] setup plugin alembic.autogenerate.tables [alembic.runtime.plugins] loc=plugins.py:37
api-server | 2026-04-20T07:37:27.419827Z [info     ] setup plugin alembic.autogenerate.types [alembic.runtime.plugins] loc=plugins.py:37
api-server | 2026-04-20T07:37:27.419933Z [info     ] setup plugin alembic.autogenerate.constraints [alembic.runtime.plugins] loc=plugins.py:37
api-server | 2026-04-20T07:37:27.420035Z [info     ] setup plugin alembic.autogenerate.defaults [alembic.runtime.plugins] loc=plugins.py:37
api-server | 2026-04-20T07:37:27.421186Z [info     ] setup plugin alembic.autogenerate.comments [alembic.runtime.plugins] loc=plugins.py:37
triggerer  | 2026-04-20T07:37:27.546686Z [info     ] setup plugin alembic.autogenerate.schemas [alembic.runtime.plugins] loc=plugins.py:37
triggerer  | 2026-04-20T07:37:27.546959Z [info     ] setup plugin alembic.autogenerate.tables [alembic.runtime.plugins] loc=plugins.py:37
triggerer  | 2026-04-20T07:37:27.547090Z [info     ] setup plugin alembic.autogenerate.types [alembic.runtime.plugins] loc=plugins.py:37
triggerer  | 2026-04-20T07:37:27.547226Z [info     ] setup plugin alembic.autogenerate.constraints [alembic.runtime.plugins] loc=plugins.py:37
triggerer  | 2026-04-20T07:37:27.547335Z [info     ] setup plugin alembic.autogenerate.defaults [alembic.runtime.plugins] loc=plugins.py:37
triggerer  | 2026-04-20T07:37:27.547414Z [info     ] setup plugin alembic.autogenerate.comments [alembic.runtime.plugins] loc=plugins.py:37
scheduler  | 2026-04-20T07:37:27.618084Z [info     ] setup plugin alembic.autogenerate.schemas [alembic.runtime.plugins] loc=plugins.py:37
scheduler  | 2026-04-20T07:37:27.620400Z [info     ] setup plugin alembic.autogenerate.tables [alembic.runtime.plugins] loc=plugins.py:37
scheduler  | 2026-04-20T07:37:27.620556Z [info     ] setup plugin alembic.autogenerate.types [alembic.runtime.plugins] loc=plugins.py:37
scheduler  | 2026-04-20T07:37:27.620664Z [info     ] setup plugin alembic.autogenerate.constraints [alembic.runtime.plugins] loc=plugins.py:37
scheduler  | 2026-04-20T07:37:27.620762Z [info     ] setup plugin alembic.autogenerate.defaults [alembic.runtime.plugins] loc=plugins.py:37
scheduler  | 2026-04-20T07:37:27.620861Z [info     ] setup plugin alembic.autogenerate.comments [alembic.runtime.plugins] loc=plugins.py:37
dag-processor | 2026-04-20T07:37:28.171764Z [info     ] setup plugin alembic.autogenerate.schemas [alembic.runtime.plugins] loc=plugins.py:37
dag-processor | 2026-04-20T07:37:28.172008Z [info     ] setup plugin alembic.autogenerate.tables [alembic.runtime.plugins] loc=plugins.py:37
dag-processor | 2026-04-20T07:37:28.174160Z [info     ] setup plugin alembic.autogenerate.types [alembic.runtime.plugins] loc=plugins.py:37
dag-processor | 2026-04-20T07:37:28.174356Z [info     ] setup plugin alembic.autogenerate.constraints [alembic.runtime.plugins] loc=plugins.py:37
dag-processor | 2026-04-20T07:37:28.174470Z [info     ] setup plugin alembic.autogenerate.defaults [alembic.runtime.plugins] loc=plugins.py:37
dag-processor | 2026-04-20T07:37:28.174579Z [info     ] setup plugin alembic.autogenerate.comments [alembic.runtime.plugins] loc=plugins.py:37
scheduler  | ____________       _____________
scheduler  | ____    |__( )_________  __/__  /________      __
scheduler  | ____  /| |_  /__  ___/_  /_ __  /_  __ \_ | /| / /
scheduler  | ___  ___ |  / _  /   _  __/ _  / / /_/ /_ |/ |/ /
scheduler  | _/_/  |_/_/  /_/    /_/    /_/  \____/____/|__/
scheduler  | 2026-04-20T07:37:29.024856Z [info     ] Loaded executor: :LocalExecutor: [airflow.executors.executor_loader] loc=executor_loader.py:376
dag-processor | 2026-04-20T07:37:29.237929Z [info     ] Starting the Dag Processor Job [airflow.jobs.dag_processor_job_runner.DagProcessorJobRunner] loc=dag_processor_job_runner.py:59
dag-processor | 2026-04-20T07:37:29.239883Z [info     ] Processing files using up to 2 processes at a time  [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:315
dag-processor | 2026-04-20T07:37:29.240041Z [info     ] Process each file at most once every 30 seconds [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:316
dag-processor | 2026-04-20T07:37:29.241310Z [info     ] DAG bundles loaded: dags-folder [airflow.dag_processing.bundles.manager.DagBundlesManager] loc=manager.py:209
dag-processor | 2026-04-20T07:37:29.245720Z [info     ] Added new DAG bundle dags-folder to the database [airflow.dag_processing.bundles.manager.DagBundlesManager] loc=manager.py:266
dag-processor | 2026-04-20T07:37:29.252315Z [info     ] DAG bundles loaded: dags-folder [airflow.dag_processing.bundles.manager.DagBundlesManager] loc=manager.py:209
dag-processor | 2026-04-20T07:37:29.252609Z [info     ] Checking for new files in bundle dags-folder every 300 seconds [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:325
dag-processor | 2026-04-20T07:37:29.265990Z [info     ] Refreshing bundle dags-folder  [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:651
dag-processor | 2026-04-20T07:37:29.270913Z [info     ] Searching for files in dags-folder at /workspaces/biomonitor-capstone/airflow_home/dags [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:707
dag-processor | 2026-04-20T07:37:29.272977Z [info     ] Found 1 files for bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:709
dag-processor | 2026-04-20T07:37:29.286284Z [info     ] Adding 1 new files to the front of the queue [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:1067
triggerer  | ____________       _____________
triggerer  | ____    |__( )_________  __/__  /________      __
triggerer  | ____  /| |_  /__  ___/_  /_ __  /_  __ \_ | /| / /
triggerer  | ___  ___ |  / _  /   _  __/ _  / / /_/ /_ |/ |/ /
triggerer  | _/_/  |_/_/  /_/    /_/    /_/  \____/____/|__/
triggerer  | 2026-04-20T07:37:29.516767Z [info     ] Starting log server on http://[::]:8794 [airflow.utils.serve_logs.core] loc=core.py:50
triggerer  | 2026-04-20T07:37:29.524729Z [info     ] Starting the triggerer         [airflow.jobs.triggerer_job_runner.TriggererJobRunner] loc=triggerer_job_runner.py:201
scheduler  | 2026-04-20T07:37:29.566358Z [info     ] Starting log server on http://[::]:8793 [airflow.utils.serve_logs.core] loc=core.py:50
scheduler  | 2026-04-20T07:37:29.582723Z [info     ] Starting the scheduler         [airflow.jobs.scheduler_job_runner.SchedulerJobRunner] loc=scheduler_job_runner.py:1442
scheduler  | 2026-04-20T07:37:29.638584Z [info     ] Worker starting up pid=263535  [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:80
triggerer  | 2026-04-20T07:37:29.656617Z [warning  ] ASGI app factory detected. Using it, but please consider setting the --factory flag explicitly. [uvicorn.error] loc=config.py:454
triggerer  | 2026-04-20T07:37:29.657335Z [info     ] Started server process [263530] [uvicorn.error] loc=server.py:92
triggerer  | 2026-04-20T07:37:29.657482Z [info     ] Waiting for application startup. [uvicorn.error] loc=on.py:48
triggerer  | 2026-04-20T07:37:29.657876Z [info     ] Application startup complete.  [uvicorn.error] loc=on.py:62
scheduler  | 2026-04-20T07:37:29.660621Z [info     ] Worker starting up pid=263536  [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:80
scheduler  | 2026-04-20T07:37:29.669853Z [info     ] Worker starting up pid=263537  [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:80
triggerer  | 2026-04-20T07:37:29.671109Z [info     ] Uvicorn running on http://:8794 (Press CTRL+C to quit) [uvicorn.error] loc=server.py:224
scheduler  | 2026-04-20T07:37:29.688012Z [info     ] Worker starting up pid=263542  [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:80
scheduler  | 2026-04-20T07:37:29.699534Z [info     ] Worker starting up pid=263543  [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:80
scheduler  | 2026-04-20T07:37:29.725707Z [info     ] Worker starting up pid=263544  [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:80
scheduler  | 2026-04-20T07:37:29.726335Z [warning  ] ASGI app factory detected. Using it, but please consider setting the --factory flag explicitly. [uvicorn.error] loc=config.py:454
scheduler  | 2026-04-20T07:37:29.729669Z [info     ] Worker starting up pid=263545  [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:80
scheduler  | 2026-04-20T07:37:29.730964Z [info     ] Started server process [263532] [uvicorn.error] loc=server.py:92
scheduler  | 2026-04-20T07:37:29.732276Z [info     ] Waiting for application startup. [uvicorn.error] loc=on.py:48
scheduler  | 2026-04-20T07:37:29.732760Z [info     ] Application startup complete.  [uvicorn.error] loc=on.py:62
scheduler  | 2026-04-20T07:37:29.737578Z [info     ] Uvicorn running on http://:8793 (Press CTRL+C to quit) [uvicorn.error] loc=server.py:224
scheduler  | 2026-04-20T07:37:29.744198Z [info     ] Worker starting up pid=263546  [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:80
scheduler  | 2026-04-20T07:37:29.755527Z [info     ] Worker starting up pid=263551  [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:80
scheduler  | 2026-04-20T07:37:29.766625Z [info     ] Worker starting up pid=263552  [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:80
scheduler  | 2026-04-20T07:37:29.777710Z [info     ] Worker starting up pid=263553  [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:80
scheduler  | 2026-04-20T07:37:29.790463Z [info     ] Worker starting up pid=263554  [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:80
scheduler  | 2026-04-20T07:37:29.799771Z [info     ] Worker starting up pid=263555  [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:80
scheduler  | 2026-04-20T07:37:29.806658Z [info     ] Worker starting up pid=263556  [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:80
scheduler  | 2026-04-20T07:37:29.822293Z [info     ] Worker starting up pid=263557  [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:80
scheduler  | 2026-04-20T07:37:29.827612Z [info     ] Worker starting up pid=263558  [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:80
scheduler  | 2026-04-20T07:37:29.834756Z [info     ] Worker starting up pid=263559  [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:80
scheduler  | 2026-04-20T07:37:29.845520Z [info     ] Worker starting up pid=263560  [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:80
scheduler  | 2026-04-20T07:37:29.856970Z [info     ] Worker starting up pid=263561  [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:80
scheduler  | 2026-04-20T07:37:29.863119Z [info     ] Worker starting up pid=263562  [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:80
scheduler  | 2026-04-20T07:37:29.871663Z [info     ] Worker starting up pid=263563  [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:80
scheduler  | 2026-04-20T07:37:29.878373Z [info     ] Worker starting up pid=263564  [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:80
scheduler  | 2026-04-20T07:37:29.890874Z [info     ] Worker starting up pid=263565  [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:80
scheduler  | 2026-04-20T07:37:29.893024Z [info     ] Worker starting up pid=263566  [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:80
scheduler  | 2026-04-20T07:37:29.906878Z [info     ] Worker starting up pid=263567  [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:80
scheduler  | 2026-04-20T07:37:29.915889Z [info     ] Worker starting up pid=263568  [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:80
scheduler  | 2026-04-20T07:37:29.919537Z [info     ] Worker starting up pid=263569  [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:80
scheduler  | 2026-04-20T07:37:29.936764Z [info     ] Worker starting up pid=263570  [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:80
scheduler  | 2026-04-20T07:37:29.947678Z [info     ] Worker starting up pid=263571  [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:80
scheduler  | 2026-04-20T07:37:29.956760Z [info     ] Worker starting up pid=263572  [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:80
scheduler  | 2026-04-20T07:37:29.962676Z [info     ] Worker starting up pid=263573  [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:80
scheduler  | 2026-04-20T07:37:29.966417Z [info     ] Adopting or resetting orphaned tasks for active dag runs [airflow.jobs.scheduler_job_runner.SchedulerJobRunner] loc=scheduler_job_runner.py:2715
